127.0.0.1 - - [01/Jan/2018:20:17:47 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/css/style.css HTTP/1.1" 200 115152
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/pptBox.js HTTP/1.1" 200 5966
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/commen.js HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/navjs.js HTTP/1.1" 200 11285
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/jquery-1.10.2.min.js HTTP/1.1" 200 92981
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/db_01.js HTTP/1.1" 200 175010
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/GlobalProvinces.js HTTP/1.1" 200 80241
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/bdzxbj_bottom_new.js HTTP/1.1" 200 21613
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /images/2017/04/03/RGsyrk0c.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/jquery.jslides.js HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/jquery.js HTTP/1.1" 200 247823
0:0:0:0:0:0:0:1 - - [01/Jan/2018:20:17:55 +0800] "GET /xzzs/www/js/scroll.js HTTP/1.1" 200 1146
